,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
17,49.0,29.0,102.0,24.0,19.0,91.0,1.0,8.0,9.0,26.0,32.0,39.0,15.0,88.0,8.0,68.0,10.0,26.0,10.0,12.0,40.0,48.0,15.0,1.0,,,,,
133,12.0,2.0,5.0,5.0,1.0,8.0,1.0,1.0,1.0,3.0,6.0,7.0,3.0,13.0,2.0,6.0,1.0,5.0,3.0,1.0,3.0,13.0,2.0,,,,,,
51,4.0,,,,,,,,1.0,,,1.0,,2.0,1.0,,2.0,,,3.0,4.0,,1.0,,,,,,
34,1.0,1.0,3.0,,1.0,,,,2.0,,,2.0,,2.0,,1.0,,1.0,,5.0,2.0,,3.0,,,,,,
48,31.0,3.0,8.0,3.0,1.0,17.0,,2.0,3.0,1.0,8.0,5.0,4.0,14.0,3.0,5.0,21.0,20.0,1.0,32.0,65.0,14.0,21.0,,,,,,
13,16.0,4.0,33.0,17.0,4.0,48.0,1.0,4.0,2.0,5.0,6.0,10.0,7.0,45.0,2.0,12.0,5.0,13.0,4.0,5.0,25.0,53.0,11.0,,,,,,
24,4.0,,,5.0,2.0,10.0,,1.0,1.0,,2.0,3.0,3.0,3.0,1.0,1.0,2.0,,1.0,1.0,,4.0,5.0,1.0,,,,,
192,25.0,4.0,2.0,1.0,,9.0,,4.0,11.0,1.0,4.0,2.0,2.0,7.0,4.0,5.0,11.0,7.0,,18.0,37.0,1.0,9.0,,,,,,
58,9.0,1.0,,,,3.0,,1.0,4.0,,,,2.0,4.0,4.0,2.0,3.0,4.0,,6.0,9.0,3.0,6.0,,,,,,
39,9.0,1.0,5.0,1.0,1.0,8.0,,,,1.0,3.0,4.0,2.0,6.0,2.0,4.0,7.0,2.0,1.0,8.0,29.0,1.0,5.0,,,,,,
4,23.0,2.0,5.0,4.0,1.0,16.0,1.0,1.0,3.0,3.0,11.0,7.0,3.0,21.0,8.0,1.0,5.0,22.0,2.0,16.0,41.0,25.0,12.0,,,,,,
167,8.0,,4.0,11.0,,3.0,,3.0,,2.0,11.0,5.0,7.0,10.0,,1.0,,3.0,2.0,2.0,3.0,15.0,1.0,,,,,,
38,3.0,1.0,2.0,,,,,,,,1.0,2.0,,,,,3.0,1.0,,1.0,3.0,,,,,,,,
40,6.0,1.0,,1.0,,,,,,,1.0,,2.0,11.0,2.0,,3.0,9.0,1.0,11.0,24.0,4.0,7.0,,,,,,
194,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,
193,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,
189,3.0,,,,,,,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,
108,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,
41,4.0,,1.0,1.0,1.0,1.0,,1.0,,,4.0,1.0,1.0,3.0,,,2.0,1.0,,1.0,,1.0,,1.0,,,,,
