,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
214,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
218,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,1.0,5.0,,,,,,2.0,,,,,,,,,,
135,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,
69,,,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,2.0,,,,,,
160,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
212,,,,,,,,,,,,,3.0,5.0,6.0,,,,,2.0,,1.0,,1.0,,,,,
217,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,4.0,,,,,
178,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,4.0,,,,,
180,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,
176,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,
174,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,
122,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
199,,,,,,,,,,,,,,3.0,2.0,,,,,1.0,3.0,,,,,,,,
105,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,
155,,,,,,,,,,,,,,1.0,3.0,,,2.0,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,
222,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
