,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
75,,,2.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,5.0,10.0,1.0,,,,,,,
116,,,,2.0,,,,,,,,,2.0,,4.0,,,1.0,1.0,,,8.0,,,,,,,
221,,,,3.0,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,
111,,,,1.0,,,,,,,,,3.0,1.0,2.0,,,,3.0,,,1.0,,,,,,,
187,,,,26.0,,,,,1.0,,8.0,19.0,84.0,79.0,80.0,,1.0,5.0,20.0,2.0,8.0,1.0,1.0,26.0,,,,,
186,,,,24.0,,,,,1.0,,8.0,17.0,64.0,61.0,47.0,,1.0,4.0,18.0,1.0,7.0,1.0,,21.0,,,,,
185,,,,5.0,,,,,,,2.0,3.0,40.0,44.0,43.0,,,1.0,4.0,1.0,,1.0,1.0,19.0,,,,,
107,,,,4.0,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,11.0,,,,,,,
220,,,,1.0,,1.0,,,,,2.0,,3.0,1.0,,,,1.0,1.0,1.0,14.0,,,,,,,,
139,,,,1.0,,,,,,,3.0,1.0,1.0,,,,,,1.0,2.0,7.0,2.0,3.0,,,,,,
184,,,,1.0,,,,,,,1.0,1.0,19.0,27.0,30.0,,,1.0,3.0,1.0,2.0,,,3.0,,,,,
214,,,,,,1.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,
61,,,,,,1.0,,,,,1.0,,2.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,
135,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,2.0,,5.0,1.0,6.0,,2.0,3.0,1.0,3.0,9.0,,1.0,,,,,,
103,,,,,,,,,,,5.0,,,2.0,1.0,,,2.0,,,2.0,1.0,,,,,,,
169,,,,,,,,,,,11.0,2.0,9.0,6.0,9.0,,,,,,2.0,,1.0,1.0,,,,,
44,,,,,,,,,,,5.0,,,1.0,3.0,,,1.0,1.0,,,2.0,,,,,,,
92,,,,,,,,,,,6.0,,,2.0,1.0,,,,,,,3.0,,,,,,,
155,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,,,,,,,
127,,,,,,,,,,,4.0,,6.0,1.0,1.0,,,,,,,,,3.0,,,,,
170,,,,,,,,,,,4.0,,7.0,1.0,12.0,,,,,1.0,20.0,,1.0,3.0,,,,,
46,,,,,,,,,,,6.0,,,,3.0,,,1.0,1.0,,,1.0,,,,,,,
199,,,,,,,,,,,1.0,,,2.0,2.0,,,,,2.0,4.0,,,,,,,,
59,,,,,,,,,,,4.0,,,,2.0,,,,,,2.0,2.0,,1.0,,,,,
150,,,,,,,,,,,2.0,1.0,8.0,7.0,6.0,,,,,4.0,3.0,1.0,1.0,1.0,,,,,
98,,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,1.0,,,,,,,
81,,,,,,,,,,,2.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,
125,,,,,,,,,,,1.0,,,,2.0,,,1.0,1.0,,2.0,,,,,,,,
183,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,
218,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,
156,,,,,,,,,,,1.0,1.0,1.0,,3.0,,,2.0,3.0,,,1.0,,,,,,,
164,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
163,,,,,,,,,,,,1.0,5.0,3.0,,,,,2.0,,,,,,,,,,
160,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,
123,,,,,,,,,,,,,3.0,4.0,3.0,,,,2.0,5.0,7.0,,1.0,1.0,,,,,
138,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,6.0,,1.0,,,,3.0,,,,,4.0,,,,,
178,,,,,,,,,,,,,5.0,,,,,,2.0,,,,,4.0,,,,,
180,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,
176,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,
174,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,
182,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,
204,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
142,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,
110,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
