,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
53,9.0,6.0,6.0,6.0,6.0,10.0,3.0,4.0,,5.0,7.0,10.0,7.0,2.0,5.0,2.0,,5.0,6.0,2.0,3.0,3.0,2.0,,,,,,
34,20.0,15.0,15.0,1.0,5.0,3.0,,4.0,7.0,3.0,13.0,3.0,7.0,15.0,13.0,2.0,3.0,3.0,,15.0,24.0,1.0,8.0,3.0,,,,,
121,8.0,2.0,3.0,2.0,7.0,1.0,,,,3.0,2.0,2.0,33.0,20.0,38.0,2.0,1.0,8.0,6.0,15.0,29.0,2.0,4.0,6.0,,,,,
191,17.0,6.0,6.0,6.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,3.0,7.0,24.0,24.0,,6.0,14.0,2.0,22.0,27.0,9.0,10.0,4.0,,,,,
188,94.0,29.0,23.0,28.0,22.0,26.0,5.0,9.0,36.0,16.0,59.0,23.0,70.0,75.0,105.0,5.0,24.0,44.0,17.0,78.0,112.0,29.0,31.0,16.0,1.0,1.0,,,
49,23.0,19.0,15.0,16.0,7.0,5.0,2.0,6.0,9.0,10.0,23.0,5.0,21.0,26.0,26.0,2.0,3.0,14.0,6.0,15.0,29.0,9.0,16.0,7.0,1.0,,,,
202,8.0,2.0,4.0,6.0,3.0,5.0,,1.0,2.0,,7.0,7.0,28.0,18.0,28.0,1.0,1.0,11.0,5.0,12.0,15.0,11.0,5.0,4.0,,,,,
50,84.0,38.0,26.0,147.0,30.0,87.0,7.0,8.0,6.0,16.0,58.0,65.0,239.0,88.0,209.0,4.0,12.0,136.0,167.0,29.0,159.0,144.0,30.0,38.0,,,,,
166,4.0,7.0,3.0,14.0,3.0,5.0,,,,,9.0,6.0,74.0,32.0,40.0,,,15.0,36.0,11.0,16.0,5.0,4.0,10.0,,,,,
68,1.0,,,5.0,,,,,,,4.0,9.0,41.0,21.0,37.0,,,5.0,8.0,3.0,11.0,1.0,,6.0,,,,,
143,5.0,,,,,1.0,,1.0,1.0,,2.0,,1.0,1.0,4.0,,2.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,,
120,12.0,6.0,6.0,8.0,3.0,9.0,3.0,4.0,7.0,2.0,23.0,17.0,60.0,17.0,50.0,1.0,3.0,9.0,17.0,9.0,23.0,10.0,6.0,5.0,,,,,
151,10.0,12.0,8.0,4.0,10.0,2.0,6.0,2.0,3.0,9.0,10.0,15.0,47.0,10.0,20.0,4.0,3.0,18.0,16.0,7.0,11.0,3.0,5.0,3.0,2.0,1.0,,,
223,26.0,21.0,9.0,8.0,19.0,7.0,1.0,3.0,9.0,9.0,28.0,17.0,21.0,70.0,103.0,,7.0,14.0,1.0,41.0,56.0,2.0,14.0,5.0,1.0,1.0,,,
87,2.0,,,1.0,3.0,,5.0,1.0,1.0,,2.0,,7.0,7.0,8.0,,,3.0,6.0,5.0,14.0,,1.0,,,,,,
207,4.0,2.0,2.0,5.0,5.0,5.0,,1.0,,,9.0,8.0,46.0,31.0,35.0,,1.0,8.0,6.0,12.0,19.0,9.0,8.0,12.0,,,,,
83,42.0,13.0,13.0,21.0,17.0,13.0,10.0,11.0,5.0,9.0,30.0,27.0,101.0,42.0,82.0,3.0,16.0,23.0,33.0,33.0,49.0,13.0,17.0,11.0,,,,,
200,7.0,4.0,2.0,17.0,5.0,8.0,1.0,,1.0,3.0,12.0,8.0,67.0,42.0,58.0,2.0,3.0,6.0,13.0,15.0,21.0,6.0,6.0,9.0,1.0,1.0,,,
